,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
5153,6.37873E+18,1.23767E+18,186.2088896,20.3229178,23.20615768,20.99544144,20.01239395,19.00435829,18.30238533,21.9466362,-999,STAR,M4.5:III (123657)
5154,6.37873E+18,1.23767E+18,186.6043244,19.79460403,22.15794945,21.49293518,21.30006599,21.27793694,20.99530602,22.43736839,-999,QSO,BROADLINE
5160,6.37855E+18,1.23767E+18,204.4780756,21.89832599,20.45303917,19.92964172,19.86574936,19.90565681,19.66917992,21.29557419,-999,QSO,BROADLINE
5161,3.86969E+18,1.23767E+18,206.3437156,20.3209772,21.66344261,20.84500504,20.77059555,20.6118927,20.4648838,23.81490707,-999,QSO,BROADLINE
5162,6.37855E+18,1.23767E+18,206.1316932,20.79639706,21.37762833,20.79419518,20.72203445,20.69704056,20.39002991,20.91364861,-999,QSO,BROADLINE
5170,6.37932E+18,1.23767E+18,199.8197894,27.6527565,22.37244797,21.46442032,21.61414146,21.66777229,21.36368752,22.21987915,-999,STAR,WDcooler
5176,6.37855E+18,1.23767E+18,203.4649472,19.1309246,21.65893555,21.20048904,21.10004044,20.79814911,20.43192673,20.98502922,-999,QSO,BROADLINE
5177,6.37855E+18,1.23767E+18,204.014281,20.27924265,22.07527733,21.77103996,20.6611805,19.78030968,19.37738228,22.83144569,-999,QSO,null
5178,3.05682E+18,1.23767E+18,186.8912449,22.75932885,22.21822929,20.62547302,20.41668129,20.59005737,20.33099747,24.07337379,-999,QSO,BROADLINE
5179,6.37486E+18,1.23767E+18,182.8283403,26.42097052,20.0110836,19.53355408,19.33238411,19.00693703,18.91908073,21.30506897,-999,QSO,BROADLINE
5182,3.86909E+18,1.23767E+18,205.1181318,23.35786555,21.97309113,21.33633423,21.20698738,21.33230972,21.22730064,23.9718895,-999,QSO,BROADLINE
5183,3.86909E+18,1.23767E+18,204.7074307,23.02145652,22.70601082,21.58153915,22.00362015,21.94048309,21.55579567,23.56323242,-999,QSO,BROADLINE
5185,6.37873E+18,1.23767E+18,188.0182489,22.57211347,20.73602104,20.40044403,20.47195435,20.35821915,20.05824089,21.91659927,-999,QSO,BROADLINE
5187,6.37873E+18,1.23767E+18,188.0182489,22.57211347,20.73602104,20.40044403,20.47195435,20.35821915,20.05824089,21.91659927,-999,QSO,BROADLINE
5190,3.86909E+18,1.23767E+18,204.891745,23.4525095,21.76977921,21.05836296,20.79473686,20.74254227,20.51862907,23.82951927,-999,STAR,A2II (39866)
5191,3.05759E+18,1.23767E+18,204.8478098,24.48907938,22.27163506,21.68393517,21.65651703,21.82943916,21.64292717,23.3285141,-999,STAR,A4V (136729)
5192,6.37866E+18,1.23766E+18,201.0509821,15.5717267,21.07496452,21.63234329,20.37753868,20.3633728,19.95022774,20.74165535,21.80126381,QSO,BROADLINE
5194,3.86335E+18,1.23767E+18,190.1131217,19.32824959,21.80342484,21.18465424,21.05460358,20.99715805,20.76680183,23.52760124,-999,STAR,CV
5195,6.37862E+18,1.23767E+18,197.5200687,18.82980847,21.21993828,20.60122108,20.53540993,20.57339478,20.3957119,22.31111526,-999,QSO,BROADLINE
5197,2.49102E+18,1.23767E+18,193.6383879,27.34803326,21.4472847,20.226408,19.78909683,19.56536102,19.63556099,23.29223824,24.05344391,STAR,G0Va (143761)
5200,3.08381E+18,1.23767E+18,194.7752805,26.88778029,22.60224533,22.09236336,21.73385239,21.16219711,20.67923546,22.7413826,23.385952,QSO,null
5202,6.37873E+18,1.23767E+18,190.3998074,24.83275937,22.10437775,21.55925751,21.6594429,21.51189232,21.25332832,23.22634125,-999,QSO,BROADLINE
5204,3.23003E+18,1.23767E+18,189.6356364,19.31928299,24.97688103,21.84440231,20.7766571,20.65207672,20.73927689,23.53946304,-999,QSO,BROADLINE
