galex_objid,sdss_objid,ra,dec,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,subclass
2.49088E+18,1.23766E+18,192.7979412,41.25237942,21.14434052,21.06635094,21.11428452,20.74437141,20.67423058,0.068251163,0.053180844,0.036790259,0.027339106,0.020335272,22.69741058,23.16161156,QSO,BROADLINE
2.49088E+18,1.23766E+18,192.1130502,41.24846171,21.03252029,20.73530769,20.66348457,20.49785805,20.41346741,0.063812435,0.049722221,0.034397602,0.025561104,0.019012766,22.47178459,22.90649223,QSO,BROADLINE
2.49088E+18,1.23766E+18,193.041589,41.3010732,21.19935989,19.54396439,18.17953491,17.59949493,17.2097435,0.052397851,0.040828053,0.028244657,0.020988807,0.015611816,23.7082119,24.24497032,GALAXY,null
2.49088E+18,1.23766E+18,192.8609004,41.37773467,20.39531708,19.66262436,19.47485352,19.44799042,19.33700562,0.046302646,0.03607871,0.024959084,0.018547274,0.013795764,23.67519951,24.85709953,QSO,BROADLINE
2.49088E+18,1.23766E+18,193.0901278,41.49001648,21.2505722,20.68260193,20.51989174,20.41394043,19.96601677,0.048595659,0.037865408,0.026195114,0.019465778,0.014478963,23.72145653,24.1718235,QSO,BROADLINE
2.49088E+18,1.23766E+18,192.8032644,41.57504644,21.46244812,21.58044434,21.19281769,21.1703434,21.142313,0.046547599,0.036269575,0.025091125,0.018645395,0.013868748,22.3899231,23.35441399,QSO,null
2.49102E+18,1.23767E+18,193.9409326,26.54658259,22.45435333,22.52963066,20.82530785,19.78509903,19.20214081,0.041813128,0.032580506,0.022539042,0.016748924,0.012458122,23.69914818,-999,GALAXY,null
2.49102E+18,1.23767E+18,193.5400827,27.49064587,24.37817764,21.16370773,20.76747322,19.86522675,19.6429882,0.046586439,0.03629984,0.025112061,0.018660951,0.01388032,23.36247063,-999,GALAXY,null
2.49102E+18,1.23767E+18,193.3225737,27.41957571,24.85880661,22.34661865,21.21989441,21.21977425,21.23942375,0.055164315,0.042983659,0.029735897,0.022096958,0.016436078,24.79709625,-999,QSO,null
2.49102E+18,1.23767E+18,193.2876861,27.10102593,22.19867516,21.63974953,19.82117081,18.97700119,18.53657532,0.049817879,0.038817756,0.026853943,0.019955358,0.014843119,-999,23.3764267,GALAXY,null
2.49102E+18,1.23767E+18,193.563945,27.40543962,20.89190292,18.2601738,17.03705025,16.54332161,16.20024109,0.044391681,0.034589697,0.023928992,0.017781805,0.013226396,-999,23.59573174,GALAXY,null
2.49102E+18,1.23767E+18,193.563945,27.40543962,20.89190292,18.2601738,17.03705025,16.54332161,16.20024109,0.044391681,0.034589697,0.023928992,0.017781805,0.013226396,-999,23.59573174,GALAXY,null
2.49102E+18,1.23767E+18,193.4377234,27.21528226,19.44957924,18.62683487,17.91514969,17.57799721,17.35256958,0.0447894,0.034899596,0.024143379,0.017941117,0.013344896,20.42082214,21.26794434,GALAXY,STARFORMING
2.49102E+18,1.23767E+18,193.4377234,27.21528226,19.44957924,18.62683487,17.91514969,17.57799721,17.35256958,0.0447894,0.034899596,0.024143379,0.017941117,0.013344896,20.42082214,21.26794434,GALAXY,STARFORMING
2.49102E+18,1.23767E+18,193.6383879,27.34803326,21.44812012,20.2214756,19.78652,19.56639481,19.62925339,0.041427091,0.032279707,0.022330953,0.016594291,0.012343104,23.29223824,24.05344391,STAR,G0Va (143761)
2.4912E+18,1.23767E+18,195.1562973,34.63286358,22.24448967,21.50472832,20.27169037,19.50055122,19.17867661,0.050831921,0.03960789,0.027400555,0.020361548,0.015145252,22.21525002,-999,GALAXY,null
2.4912E+18,1.23767E+18,194.2411282,34.66641929,22.31162453,21.67534447,20.86188698,19.88202095,19.53233528,0.052308545,0.040758461,0.028196516,0.020953033,0.015585207,22.26101875,-999,GALAXY,null
2.4912E+18,1.23767E+18,194.9155459,35.03870275,23.90306854,22.26791191,21.06793785,20.00775528,19.61519241,0.046313301,0.03608701,0.024964828,0.018551541,0.013798939,22.01849937,-999,GALAXY,null
2.4912E+18,1.23767E+18,194.8015036,35.29701585,22.31559753,21.59760475,20.30661774,19.24956131,18.79198837,0.036354795,0.028327411,0.019596772,0.014562502,0.010831825,22.34992599,-999,GALAXY,null
2.4912E+18,1.23767E+18,194.8646476,35.39831636,21.49727249,21.10532188,20.9629879,20.82845879,20.48254013,0.037820656,0.029469598,0.020386931,0.015149675,0.011268575,22.49281883,-999,STAR,A2II (39866)
2.4912E+18,1.23767E+18,195.1533613,35.39156459,23.77028275,21.3000927,20.88088417,20.78573418,20.82079506,0.040165037,0.031296324,0.021650653,0.016088756,0.011967078,21.82961273,-999,QSO,BROADLINE
2.50587E+18,1.23766E+18,185.3702298,14.81392113,24.68265343,22.08178902,21.6718483,21.877882,22.19577408,0.142568544,0.111088447,0.076850474,0.057108138,0.042477962,22.38876724,-999,STAR,F2III (89254)
2.54162E+18,1.23767E+18,196.3810864,29.90409428,26.38852501,23.19206047,21.52845764,20.10666847,19.53881264,0.053626437,0.041785356,0.028906915,0.021480937,0.015977871,24.64694977,-999,GALAXY,null
